name,birthday,nationality
Tom hanks,1956-07-09,USA
Julia Roberts,1967-10-28,USA
Wagner Moura,1976-06-27,BRAZIL
Sandra Bullock,1964-07-26,USA
Gisele Bundchen,1980-07-20,BRASIL
